# x_m,y_m,w_tr_right_m,w_tr_left_m
7.5000,6.0000,0.6711,0.6711
7.5100,6.0000,0.6651,0.6651
7.5200,6.0100,0.6691,0.6691
7.5300,6.0100,0.6651,0.6651
7.5400,6.0200,0.6691,0.6691
7.5500,6.0200,0.6651,0.6651
7.5600,6.0200,0.6591,0.6591
7.5700,6.0300,0.6671,0.6671
7.5800,6.0300,0.6651,0.6651
7.5900,6.0300,0.6591,0.6591
7.6000,6.0400,0.6651,0.6651
7.6100,6.0400,0.6591,0.6591
7.6200,6.0400,0.6571,0.6571
7.6300,6.0500,0.6651,0.6651
7.6400,6.0500,0.6591,0.6591
7.6500,6.0600,0.6651,0.6651
7.6600,6.0600,0.6591,0.6591
7.6700,6.0700,0.6651,0.6651
7.6800,6.0700,0.6591,0.6591
7.6900,6.0800,0.6671,0.6671
7.7000,6.0800,0.6632,0.6632
7.7100,6.0800,0.6571,0.6571
7.7200,6.0800,0.6511,0.6511
7.7300,6.0800,0.6471,0.6471
7.7400,6.0900,0.6551,0.6551
7.7500,6.0900,0.6532,0.6532
7.7600,6.0900,0.6511,0.6511
7.7700,6.0900,0.6471,0.6471
7.7800,6.1000,0.6551,0.6551
7.7900,6.1000,0.6511,0.6511
7.8000,6.1000,0.6471,0.6471
7.8100,6.1100,0.6551,0.6551
7.8200,6.1100,0.6532,0.6532
7.8300,6.1200,0.6591,0.6591
7.8400,6.1200,0.6571,0.6571
7.8500,6.1300,0.6651,0.6651
7.8600,6.1300,0.6591,0.6591
7.8700,6.1300,0.6571,0.6571
7.8800,6.1400,0.6591,0.6591
7.8900,6.1400,0.6571,0.6571
7.9000,6.1500,0.6651,0.6651
7.9100,6.1500,0.6591,0.6591
7.9200,6.1500,0.6571,0.6571
7.9300,6.1600,0.6651,0.6651
7.9400,6.1600,0.6632,0.6632
7.9500,6.1700,0.6651,0.6651
7.9600,6.1700,0.6671,0.6671
7.9700,6.1700,0.6673,0.6673
7.9800,6.1800,0.6632,0.6632
7.9900,6.1800,0.6651,0.6651
8.0000,6.1800,0.6671,0.6671
8.0100,6.1900,0.6591,0.6591
8.0200,6.1900,0.6651,0.6651
8.0300,6.2000,0.6571,0.6571
8.0400,6.2000,0.6591,0.6591
8.0500,6.2000,0.6651,0.6651
8.0600,6.2000,0.6671,0.6671
8.0700,6.2100,0.6591,0.6591
8.0800,6.2100,0.6651,0.6651
8.0900,6.2100,0.6671,0.6671
8.1000,6.2200,0.6591,0.6591
8.1100,6.2200,0.6651,0.6651
8.1200,6.2200,0.6671,0.6671
8.1300,6.2300,0.6591,0.6591
8.1400,6.2300,0.6651,0.6651
8.1500,6.2300,0.6671,0.6671
8.1600,6.2400,0.6591,0.6591
8.1700,6.2400,0.6612,0.6612
8.1800,6.2400,0.6632,0.6632
8.1900,6.2400,0.6651,0.6651
8.2000,6.2400,0.6671,0.6671
8.2100,6.2500,0.6591,0.6591
8.2200,6.2500,0.6632,0.6632
8.2300,6.2500,0.6651,0.6651
8.2400,6.2500,0.6651,0.6651
8.2500,6.2500,0.6591,0.6591
8.2600,6.2500,0.6571,0.6571
8.2700,6.2500,0.6511,0.6511
8.2800,6.2500,0.6471,0.6471
8.2900,6.2600,0.6551,0.6551
8.3000,6.2600,0.6532,0.6532
8.3100,6.2600,0.6511,0.6511
8.3200,6.2600,0.6471,0.6471
8.3300,6.2600,0.6451,0.6451
8.3400,6.2600,0.6431,0.6431
8.3500,6.2600,0.6371,0.6371
8.3600,6.2700,0.6431,0.6431
8.3700,6.2700,0.6371,0.6371
8.3800,6.2700,0.6351,0.6351
8.3900,6.2700,0.6332,0.6332
8.4000,6.2700,0.6291,0.6291
8.4100,6.2700,0.6251,0.6251
8.4200,6.2700,0.6212,0.6212
8.4300,6.2800,0.6251,0.6251
8.4400,6.2800,0.6232,0.6232
8.4500,6.2800,0.6212,0.6212
8.4600,6.2800,0.6192,0.6192
8.4700,6.2800,0.6173,0.6173
8.4800,6.2800,0.6153,0.6153
8.4900,6.2800,0.6133,0.6133
8.5000,6.2800,0.6113,0.6113
8.5100,6.2800,0.6094,0.6094
8.5200,6.2800,0.6074,0.6074
8.5300,6.2900,0.6154,0.6154
8.5400,6.2900,0.6135,0.6135
8.5500,6.2900,0.6115,0.6115
8.5600,6.2900,0.6095,0.6095
8.5700,6.2900,0.6076,0.6076
8.5800,6.2900,0.6056,0.6056
8.5900,6.2900,0.6036,0.6036
8.6000,6.2900,0.6017,0.6017
8.6100,6.2900,0.5997,0.5997
8.6200,6.3000,0.6077,0.6077
8.6300,6.3000,0.6058,0.6058
8.6400,6.3000,0.6038,0.6038
8.6500,6.3000,0.6018,0.6018
8.6600,6.3000,0.5998,0.5998
8.6700,6.3000,0.5979,0.5979
8.6800,6.3000,0.5959,0.5959
8.6900,6.3000,0.5939,0.5939
8.7000,6.3100,0.6020,0.6020
8.7100,6.3100,0.6000,0.6000
8.7200,6.3100,0.6000,0.6000
8.7300,6.3100,0.6000,0.6000
8.7400,6.3100,0.6000,0.6000
8.7500,6.3100,0.6020,0.6020
8.7600,6.3100,0.6039,0.6039
8.7700,6.3100,0.6059,0.6059
8.7800,6.3100,0.6079,0.6079
8.7900,6.3100,0.6098,0.6098
8.8000,6.3100,0.6118,0.6118
8.8100,6.3100,0.6138,0.6138
8.8200,6.3100,0.6158,0.6158
8.8300,6.3200,0.6277,0.6277
8.8400,6.3200,0.6297,0.6297
