# x_m,y_m,w_tr_right_m,w_tr_left_m
8.9500,6.0000,0.6471,0.6471
8.9600,6.0000,0.6471,0.6471
8.9700,6.0100,0.6471,0.6471
8.9800,6.0100,0.6431,0.6431
8.9900,6.0100,0.6371,0.6371
9.0000,6.0200,0.6412,0.6412
9.0100,6.0200,0.6352,0.6352
9.0200,6.0300,0.6371,0.6371
9.0300,6.0400,0.6431,0.6431
9.0400,6.0400,0.6371,0.6371
9.0500,6.0400,0.6351,0.6351
9.0600,6.0500,0.6412,0.6412
9.0700,6.0600,0.6371,0.6371
9.0800,6.0600,0.6371,0.6371
9.0900,6.0600,0.6351,0.6351
9.1000,6.0700,0.6371,0.6371
9.1100,6.0700,0.6351,0.6351
9.1200,6.0700,0.6332,0.6332
9.1300,6.0800,0.6352,0.6352
9.1400,6.0800,0.6291,0.6291
9.1500,6.0900,0.6351,0.6351
9.1600,6.0900,0.6332,0.6332
9.1700,6.0900,0.6312,0.6312
9.1800,6.1000,0.6371,0.6371
9.1900,6.1000,0.6351,0.6351
9.2000,6.1000,0.6332,0.6332
9.2100,6.1100,0.6371,0.6371
9.2200,6.1100,0.6351,0.6351
9.2300,6.1100,0.6291,0.6291
9.2400,6.1200,0.6351,0.6351
9.2500,6.1200,0.6332,0.6332
9.2600,6.1200,0.6272,0.6272
9.2700,6.1300,0.6291,0.6291
9.2800,6.1300,0.6251,0.6251
9.2900,6.1300,0.6232,0.6232
9.3000,6.1400,0.6312,0.6312
9.3100,6.1400,0.6291,0.6291
9.3200,6.1400,0.6251,0.6251
9.3300,6.1400,0.6232,0.6232
9.3400,6.1500,0.6291,0.6291
9.3500,6.1500,0.6251,0.6251
9.3600,6.1500,0.6212,0.6212
9.3700,6.1500,0.6151,0.6151
9.3800,6.1600,0.6232,0.6232
9.3900,6.1600,0.6212,0.6212
9.4000,6.1600,0.6151,0.6151
9.4100,6.1600,0.6132,0.6132
9.4200,6.1600,0.6112,0.6112
9.4300,6.1700,0.6192,0.6192
9.4400,6.1700,0.6173,0.6173
9.4500,6.1800,0.6253,0.6253
9.4600,6.1800,0.6233,0.6233
9.4700,6.1800,0.6213,0.6213
9.4800,6.1800,0.6194,0.6194
9.4900,6.1900,0.6251,0.6251
9.5000,6.1900,0.6232,0.6232
9.5100,6.1900,0.6212,0.6212
9.5200,6.1900,0.6151,0.6151
9.5300,6.2000,0.6232,0.6232
9.5400,6.2000,0.6212,0.6212
9.5500,6.2000,0.6192,0.6192
9.5600,6.2100,0.6273,0.6273
9.5700,6.2100,0.6253,0.6253
9.5800,6.2100,0.6233,0.6233
9.5900,6.2100,0.6213,0.6213
9.6000,6.2200,0.6294,0.6294
9.6100,6.2200,0.6274,0.6274
9.6200,6.2200,0.6254,0.6254
9.6300,6.2300,0.6335,0.6335
9.6400,6.2300,0.6315,0.6315
9.6500,6.2300,0.6295,0.6295
9.6600,6.2300,0.6276,0.6276
9.6700,6.2300,0.6256,0.6256
9.6800,6.2300,0.6236,0.6236
9.6900,6.2300,0.6217,0.6217
9.7000,6.2400,0.6297,0.6297
9.7100,6.2400,0.6277,0.6277
9.7200,6.2400,0.6258,0.6258
9.7300,6.2400,0.6238,0.6238
9.7400,6.2400,0.6218,0.6218
9.7500,6.2500,0.6298,0.6298
9.7600,6.2500,0.6279,0.6279
9.7700,6.2500,0.6259,0.6259
9.7800,6.2500,0.6239,0.6239
9.7900,6.2500,0.6220,0.6220
9.8000,6.2600,0.6300,0.6300
9.8100,6.2600,0.6300,0.6300
9.8200,6.2600,0.6300,0.6300
9.8300,6.2600,0.6300,0.6300
9.8400,6.2600,0.6298,0.6298
9.8500,6.2600,0.6279,0.6279
9.8600,6.2600,0.6259,0.6259
9.8700,6.2600,0.6239,0.6239
9.8800,6.2600,0.6220,0.6220
9.8900,6.2700,0.6300,0.6300
9.9000,6.2700,0.6300,0.6300
9.9100,6.2700,0.6298,0.6298
9.9200,6.2700,0.6279,0.6279
9.9300,6.2700,0.6259,0.6259
9.9400,6.2700,0.6239,0.6239
9.9500,6.2700,0.6220,0.6220
9.9600,6.2800,0.6300,0.6300
9.9700,6.2800,0.6298,0.6298
9.9800,6.2800,0.6279,0.6279
9.9900,6.2800,0.6259,0.6259
10.0000,6.2800,0.6239,0.6239
10.0100,6.2800,0.6220,0.6220
10.0200,6.2800,0.6200,0.6200
10.0300,6.2800,0.6200,0.6200
10.0400,6.2900,0.6300,0.6300
10.0500,6.2900,0.6298,0.6298
10.0600,6.2900,0.6279,0.6279
10.0700,6.2900,0.6259,0.6259
10.0800,6.2900,0.6239,0.6239
10.0900,6.2900,0.6220,0.6220
10.1000,6.2900,0.6200,0.6200
10.1100,6.3000,0.6298,0.6298
10.1200,6.3000,0.6279,0.6279
10.1300,6.3000,0.6259,0.6259
10.1400,6.3000,0.6239,0.6239
10.1500,6.3000,0.6220,0.6220
10.1600,6.3000,0.6200,0.6200
10.1700,6.3000,0.6200,0.6200
10.1800,6.3000,0.6200,0.6200
10.1900,6.3000,0.6200,0.6200
10.2000,6.3000,0.6200,0.6200
10.2100,6.3000,0.6200,0.6200
10.2200,6.3000,0.6200,0.6200
10.2300,6.3000,0.6200,0.6200
10.2400,6.3100,0.6300,0.6300
10.2500,6.3100,0.6300,0.6300
10.2600,6.3100,0.6298,0.6298
10.2700,6.3100,0.6279,0.6279
10.2800,6.3100,0.6259,0.6259
10.2900,6.3100,0.6239,0.6239
10.3000,6.3100,0.6220,0.6220
10.3100,6.3100,0.6200,0.6200
10.3200,6.3100,0.6220,0.6220
10.3300,6.3100,0.6239,0.6239
10.3400,6.3100,0.6259,0.6259
10.3500,6.3100,0.6279,0.6279
10.3600,6.3100,0.6298,0.6298
10.3700,6.3200,0.6400,0.6400
10.3800,6.3200,0.6400,0.6400
10.3900,6.3200,0.6400,0.6400
10.4000,6.3200,0.6400,0.6400
10.4100,6.3200,0.6400,0.6400
10.4200,6.3200,0.6400,0.6400
10.4300,6.3200,0.6400,0.6400
10.4400,6.3300,0.6500,0.6500
10.4500,6.3300,0.6500,0.6500
10.4600,6.3300,0.6500,0.6500
10.4700,6.3300,0.6500,0.6500
10.4800,6.3300,0.6498,0.6498
10.4900,6.3300,0.6479,0.6479
10.5000,6.3300,0.6459,0.6459
10.5100,6.3300,0.6439,0.6439
10.5200,6.3300,0.6420,0.6420
10.5300,6.3300,0.6400,0.6400
10.5400,6.3300,0.6420,0.6420
10.5500,6.3300,0.6439,0.6439
10.5600,6.3200,0.6359,0.6359
10.5700,6.3200,0.6379,0.6379
10.5800,6.3200,0.6398,0.6398
10.5900,6.3200,0.6400,0.6400
10.6000,6.3200,0.6400,0.6400
10.6100,6.3200,0.6400,0.6400
10.6200,6.3200,0.6420,0.6420
10.6300,6.3100,0.6339,0.6339
10.6400,6.3100,0.6359,0.6359
10.6500,6.3100,0.6379,0.6379
10.6600,6.3100,0.6398,0.6398
10.6700,6.3100,0.6400,0.6400
10.6800,6.3100,0.6420,0.6420
10.6900,6.3000,0.6339,0.6339
10.7000,6.3000,0.6359,0.6359
10.7100,6.3000,0.6379,0.6379
10.7200,6.3000,0.6398,0.6398
10.7300,6.3000,0.6418,0.6418
10.7400,6.2900,0.6338,0.6338
10.7500,6.2900,0.6358,0.6358
10.7600,6.2900,0.6377,0.6377
10.7700,6.2900,0.6397,0.6397
10.7800,6.2900,0.6417,0.6417
10.7900,6.2900,0.6436,0.6436
10.8000,6.2800,0.6356,0.6356
10.8100,6.2800,0.6376,0.6376
10.8200,6.2800,0.6395,0.6395
10.8300,6.2800,0.6415,0.6415
10.8400,6.2800,0.6435,0.6435
10.8500,6.2700,0.6354,0.6354
10.8600,6.2700,0.6374,0.6374
10.8700,6.2700,0.6394,0.6394
10.8800,6.2700,0.6413,0.6413
10.8900,6.2600,0.6333,0.6333
10.9000,6.2600,0.6353,0.6353
10.9100,6.2600,0.6373,0.6373
10.9200,6.2600,0.6392,0.6392
10.9300,6.2600,0.6412,0.6412
10.9400,6.2500,0.6332,0.6332
10.9500,6.2500,0.6351,0.6351
10.9600,6.2500,0.6371,0.6371
10.9700,6.2500,0.6431,0.6431
10.9800,6.2500,0.6492,0.6492
10.9900,6.2500,0.6552,0.6552
11.0000,6.2500,0.6612,0.6612
11.0100,6.2400,0.6593,0.6593
11.0200,6.2400,0.6653,0.6653
11.0300,6.2400,0.6713,0.6713
11.0400,6.2400,0.6774,0.6774
11.0500,6.2400,0.6834,0.6834
11.0600,6.2400,0.6894,0.6894
11.0700,6.2400,0.6955,0.6955
11.0800,6.2300,0.6935,0.6935
11.0900,6.2300,0.6996,0.6996
11.1000,6.2200,0.6976,0.6976
11.1100,6.2200,0.7030,0.7030
11.1200,6.2200,0.6991,0.6991
11.1300,6.2200,0.6931,0.6931
11.1400,6.2200,0.6871,0.6871
11.1500,6.2100,0.6910,0.6910
11.1600,6.2000,0.6950,0.6950
11.1700,6.2000,0.6910,0.6910
11.1800,6.2000,0.6871,0.6871
11.1900,6.2000,0.6810,0.6810
11.2000,6.1900,0.6891,0.6891
11.2100,6.1900,0.6871,0.6871
11.2200,6.1800,0.6910,0.6910
11.2300,6.1700,0.6991,0.6991
11.2400,6.1700,0.6950,0.6950
11.2500,6.1600,0.7010,0.7010
11.2600,6.1500,0.7090,0.7090
11.2700,6.1400,0.7130,0.7130
11.2800,6.1300,0.7210,0.7210
11.2900,6.1300,0.7170,0.7170
11.3000,6.1200,0.7230,0.7230
11.3100,6.1200,0.7170,0.7170
11.3200,6.1100,0.7230,0.7230
11.3300,6.1000,0.7250,0.7250
11.3400,6.1000,0.7211,0.7211
11.3500,6.0900,0.7230,0.7230
11.3600,6.0800,0.7250,0.7250
11.3700,6.0700,0.7310,0.7310
11.3800,6.0600,0.7350,0.7350
11.3900,6.0600,0.7310,0.7310
11.4000,6.0500,0.7350,0.7350
11.4100,6.0400,0.7390,0.7390
11.4200,6.0300,0.7450,0.7450
11.4300,6.0300,0.7390,0.7390
11.4400,6.0200,0.7431,0.7431
11.4500,6.0100,0.7450,0.7450
11.4600,6.0000,0.7469,0.7469
11.4700,5.9900,0.7530,0.7530
11.4800,5.9800,0.7569,0.7569
11.4900,5.9700,0.7530,0.7530
11.5000,5.9600,0.7450,0.7450
11.5100,5.9500,0.7390,0.7390
11.5200,5.9400,0.7370,0.7370
11.5300,5.9300,0.7351,0.7351
11.5400,5.9200,0.7332,0.7332
11.5500,5.9100,0.7312,0.7312
11.5600,5.9000,0.7293,0.7293
