# x_m,y_m,w_tr_right_m,w_tr_left_m
5.4500,6.0000,0.6731,0.6731
5.4500,5.9900,0.6691,0.6691
5.4400,5.9800,0.6711,0.6711
5.4300,5.9700,0.6731,0.6731
5.4200,5.9600,0.6772,0.6772
5.4100,5.9500,0.6791,0.6791
5.4100,5.9400,0.6731,0.6731
5.4000,5.9300,0.6791,0.6791
5.4000,5.9200,0.6731,0.6731
5.3900,5.9100,0.6772,0.6772
5.3800,5.9000,0.6791,0.6791
5.3800,5.8900,0.6731,0.6731
5.3700,5.8800,0.6791,0.6791
5.3600,5.8700,0.6810,0.6810
5.3500,5.8600,0.6791,0.6791
5.3500,5.8500,0.6810,0.6810
5.3400,5.8400,0.6771,0.6771
5.3400,5.8300,0.6791,0.6791
5.3300,5.8200,0.6731,0.6731
5.3200,5.8100,0.6671,0.6671
5.3100,5.8000,0.6591,0.6591
5.3100,5.7900,0.6651,0.6651
5.3000,5.7800,0.6591,0.6591
5.3000,5.7700,0.6651,0.6651
5.3000,5.7600,0.6691,0.6691
5.2900,5.7500,0.6651,0.6651
5.2900,5.7400,0.6711,0.6711
5.2800,5.7300,0.6691,0.6691
5.2800,5.7200,0.6731,0.6731
5.2800,5.7100,0.6791,0.6791
5.2700,5.7000,0.6731,0.6731
5.2700,5.6900,0.6791,0.6791
5.2600,5.6800,0.6772,0.6772
5.2500,5.6700,0.6731,0.6731
5.2500,5.6600,0.6791,0.6791
5.2400,5.6500,0.6731,0.6731
5.2400,5.6400,0.6752,0.6752
5.2300,5.6300,0.6731,0.6731
5.2300,5.6200,0.6711,0.6711
5.2300,5.6100,0.6651,0.6651
5.2200,5.6000,0.6691,0.6691
5.2200,5.5900,0.6651,0.6651
5.2200,5.5800,0.6591,0.6591
5.2200,5.5700,0.6571,0.6571
5.2200,5.5600,0.6551,0.6551
5.2100,5.5500,0.6632,0.6632
5.2100,5.5400,0.6591,0.6591
5.2000,5.5300,0.6651,0.6651
5.2000,5.5200,0.6591,0.6591
