# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.0000,6.0000,18.0000,18.0000
-3.7714,6.0000,18.0000,18.0000
-3.5429,6.0000,18.0000,18.0000
-3.3143,6.0000,18.0000,18.0000
-3.0857,6.0000,18.0000,18.0000
-2.8571,6.0000,18.0000,18.0000
-2.6286,6.0000,18.0000,18.0000
-2.4000,6.0000,18.0000,18.0000
-2.1714,6.0000,18.0000,18.0000
-1.9429,6.0000,18.0000,18.0000
-1.7143,6.0000,18.0000,18.0000
-1.4857,6.0000,18.0000,18.0000
-1.2571,6.0000,18.0000,18.0000
-1.0286,6.0000,18.0000,18.0000
-0.8000,6.0000,18.0000,18.0000
-0.5714,6.0000,18.0000,18.0000
-0.3429,6.0000,18.0000,18.0000
-0.1143,6.0000,18.0000,18.0000
0.1143,6.0000,18.0000,18.0000
0.3429,6.0000,18.0000,18.0000
0.5714,6.0000,18.0000,18.0000
0.8000,6.0000,18.0000,18.0000
1.0286,6.0000,18.0000,18.0000
1.2571,6.0000,18.0000,18.0000
1.4857,6.0000,18.0000,18.0000
1.7143,6.0000,18.0000,18.0000
1.9429,6.0000,18.0000,18.0000
2.1714,6.0000,18.0000,18.0000
2.4000,6.0000,18.0000,18.0000
2.6286,6.0000,18.0000,18.0000
2.8571,6.0000,18.0000,18.0000
3.0857,6.0000,18.0000,18.0000
3.3143,6.0000,18.0000,18.0000
3.5429,6.0000,18.0000,18.0000
3.7714,6.0000,18.0000,18.0000
4.0000,6.0000,18.0000,18.0000
4.1569,5.9938,18.0000,18.0000
4.3129,5.9754,18.0000,18.0000
4.4669,5.9447,18.0000,18.0000
4.6180,5.9021,18.0000,18.0000
4.7654,5.8478,18.0000,18.0000
4.9080,5.7820,18.0000,18.0000
5.0450,5.7053,18.0000,18.0000
5.1756,5.6180,18.0000,18.0000
5.2989,5.5208,18.0000,18.0000
5.4142,5.4142,18.0000,18.0000
5.5208,5.2989,18.0000,18.0000
5.6180,5.1756,18.0000,18.0000
5.7053,5.0450,18.0000,18.0000
5.7820,4.9080,18.0000,18.0000
5.8478,4.7654,18.0000,18.0000
5.9021,4.6180,18.0000,18.0000
5.9447,4.4669,18.0000,18.0000
5.9754,4.3129,18.0000,18.0000
5.9938,4.1569,18.0000,18.0000
6.0000,4.0000,18.0000,18.0000
6.0000,3.7714,18.0000,18.0000
6.0000,3.5429,18.0000,18.0000
6.0000,3.3143,18.0000,18.0000
6.0000,3.0857,18.0000,18.0000
6.0000,2.8571,18.0000,18.0000
6.0000,2.6286,18.0000,18.0000
6.0000,2.4000,18.0000,18.0000
6.0000,2.1714,18.0000,18.0000
6.0000,1.9429,18.0000,18.0000
6.0000,1.7143,18.0000,18.0000
6.0000,1.4857,18.0000,18.0000
6.0000,1.2571,18.0000,18.0000
6.0000,1.0286,18.0000,18.0000
6.0000,0.8000,18.0000,18.0000
6.0000,0.5714,18.0000,18.0000
6.0000,0.3429,18.0000,18.0000
6.0000,0.1143,18.0000,18.0000
6.0000,-0.1143,18.0000,18.0000
6.0000,-0.3429,18.0000,18.0000
6.0000,-0.5714,18.0000,18.0000
6.0000,-0.8000,18.0000,18.0000
6.0000,-1.0286,18.0000,18.0000
6.0000,-1.2571,18.0000,18.0000
6.0000,-1.4857,18.0000,18.0000
6.0000,-1.7143,18.0000,18.0000
6.0000,-1.9429,18.0000,18.0000
6.0000,-2.1714,18.0000,18.0000
6.0000,-2.4000,18.0000,18.0000
6.0000,-2.6286,18.0000,18.0000
6.0000,-2.8571,18.0000,18.0000
6.0000,-3.0857,18.0000,18.0000
6.0000,-3.3143,18.0000,18.0000
6.0000,-3.5429,18.0000,18.0000
6.0000,-3.7714,18.0000,18.0000
6.0000,-4.0000,18.0000,18.0000
5.9938,-4.1569,18.0000,18.0000
5.9754,-4.3129,18.0000,18.0000
5.9447,-4.4669,18.0000,18.0000
5.9021,-4.6180,18.0000,18.0000
5.8478,-4.7654,18.0000,18.0000
5.7820,-4.9080,18.0000,18.0000
5.7053,-5.0450,18.0000,18.0000
5.6180,-5.1756,18.0000,18.0000
5.5208,-5.2989,18.0000,18.0000
5.4142,-5.4142,18.0000,18.0000
5.2989,-5.5208,18.0000,18.0000
5.1756,-5.6180,18.0000,18.0000
5.0450,-5.7053,18.0000,18.0000
4.9080,-5.7820,18.0000,18.0000
4.7654,-5.8478,18.0000,18.0000
4.6180,-5.9021,18.0000,18.0000
4.4669,-5.9447,18.0000,18.0000
4.3129,-5.9754,18.0000,18.0000
4.1569,-5.9938,18.0000,18.0000
4.0000,-6.0000,18.0000,18.0000
3.7714,-6.0000,18.0000,18.0000
3.5429,-6.0000,18.0000,18.0000
3.3143,-6.0000,18.0000,18.0000
3.0857,-6.0000,18.0000,18.0000
2.8571,-6.0000,18.0000,18.0000
2.6286,-6.0000,18.0000,18.0000
2.4000,-6.0000,18.0000,18.0000
2.1714,-6.0000,18.0000,18.0000
1.9429,-6.0000,18.0000,18.0000
1.7143,-6.0000,18.0000,18.0000
1.4857,-6.0000,18.0000,18.0000
1.2571,-6.0000,18.0000,18.0000
1.0286,-6.0000,18.0000,18.0000
0.8000,-6.0000,18.0000,18.0000
0.5714,-6.0000,18.0000,18.0000
0.3429,-6.0000,18.0000,18.0000
0.1143,-6.0000,18.0000,18.0000
-0.1143,-6.0000,18.0000,18.0000
-0.3429,-6.0000,18.0000,18.0000
-0.5714,-6.0000,18.0000,18.0000
-0.8000,-6.0000,18.0000,18.0000
-1.0286,-6.0000,18.0000,18.0000
-1.2571,-6.0000,18.0000,18.0000
-1.4857,-6.0000,18.0000,18.0000
-1.7143,-6.0000,18.0000,18.0000
-1.9429,-6.0000,18.0000,18.0000
-2.1714,-6.0000,18.0000,18.0000
-2.4000,-6.0000,18.0000,18.0000
-2.6286,-6.0000,18.0000,18.0000
-2.8571,-6.0000,18.0000,18.0000
-3.0857,-6.0000,18.0000,18.0000
-3.3143,-6.0000,18.0000,18.0000
-3.5429,-6.0000,18.0000,18.0000
-3.7714,-6.0000,18.0000,18.0000
-4.0000,-6.0000,18.0000,18.0000
-4.1569,-5.9938,18.0000,18.0000
-4.3129,-5.9754,18.0000,18.0000
-4.4669,-5.9447,18.0000,18.0000
-4.6180,-5.9021,18.0000,18.0000
-4.7654,-5.8478,18.0000,18.0000
-4.9080,-5.7820,18.0000,18.0000
-5.0450,-5.7053,18.0000,18.0000
-5.1756,-5.6180,18.0000,18.0000
-5.2989,-5.5208,18.0000,18.0000
-5.4142,-5.4142,18.0000,18.0000
-5.5208,-5.2989,18.0000,18.0000
-5.6180,-5.1756,18.0000,18.0000
-5.7053,-5.0450,18.0000,18.0000
-5.7820,-4.9080,18.0000,18.0000
-5.8478,-4.7654,18.0000,18.0000
-5.9021,-4.6180,18.0000,18.0000
-5.9447,-4.4669,18.0000,18.0000
-5.9754,-4.3129,18.0000,18.0000
-5.9938,-4.1569,18.0000,18.0000
-6.0000,-4.0000,18.0000,18.0000
-6.0000,-3.7714,18.0000,18.0000
-6.0000,-3.5429,18.0000,18.0000
-6.0000,-3.3143,18.0000,18.0000
-6.0000,-3.0857,18.0000,18.0000
-6.0000,-2.8571,18.0000,18.0000
-6.0000,-2.6286,18.0000,18.0000
-6.0000,-2.4000,18.0000,18.0000
-6.0000,-2.1714,18.0000,18.0000
-6.0000,-1.9429,18.0000,18.0000
-6.0000,-1.7143,18.0000,18.0000
-6.0000,-1.4857,18.0000,18.0000
-6.0000,-1.2571,18.0000,18.0000
-6.0000,-1.0286,18.0000,18.0000
-6.0000,-0.8000,18.0000,18.0000
-6.0000,-0.5714,18.0000,18.0000
-6.0000,-0.3429,18.0000,18.0000
-6.0000,-0.1143,18.0000,18.0000
-6.0000,0.1143,18.0000,18.0000
-6.0000,0.3429,18.0000,18.0000
-6.0000,0.5714,18.0000,18.0000
-6.0000,0.8000,18.0000,18.0000
-6.0000,1.0286,18.0000,18.0000
-6.0000,1.2571,18.0000,18.0000
-6.0000,1.4857,18.0000,18.0000
-6.0000,1.7143,18.0000,18.0000
-6.0000,1.9429,18.0000,18.0000
-6.0000,2.1714,18.0000,18.0000
-6.0000,2.4000,18.0000,18.0000
-6.0000,2.6286,18.0000,18.0000
-6.0000,2.8571,18.0000,18.0000
-6.0000,3.0857,18.0000,18.0000
-6.0000,3.3143,18.0000,18.0000
-6.0000,3.5429,18.0000,18.0000
-6.0000,3.7714,18.0000,18.0000
-6.0000,4.0000,18.0000,18.0000
-5.9938,4.1569,18.0000,18.0000
-5.9754,4.3129,18.0000,18.0000
-5.9447,4.4669,18.0000,18.0000
-5.9021,4.6180,18.0000,18.0000
-5.8478,4.7654,18.0000,18.0000
-5.7820,4.9080,18.0000,18.0000
-5.7053,5.0450,18.0000,18.0000
-5.6180,5.1756,18.0000,18.0000
-5.5208,5.2989,18.0000,18.0000
-5.4142,5.4142,18.0000,18.0000
-5.2989,5.5208,18.0000,18.0000
-5.1756,5.6180,18.0000,18.0000
-5.0450,5.7053,18.0000,18.0000
-4.9080,5.7820,18.0000,18.0000
-4.7654,5.8478,18.0000,18.0000
-4.6180,5.9021,18.0000,18.0000
-4.4669,5.9447,18.0000,18.0000
-4.3129,5.9754,18.0000,18.0000
-4.1569,5.9938,18.0000,18.0000
