# x_m,y_m,w_tr_right_m,w_tr_left_m
0.8800,6.0000,0.6300,0.6300
0.8800,5.9900,0.6300,0.6300
0.8800,5.9800,0.6300,0.6300
0.8800,5.9700,0.6300,0.6300
0.8800,5.9600,0.6300,0.6300
0.8800,5.9500,0.6300,0.6300
0.8800,5.9400,0.6300,0.6300
0.8800,5.9300,0.6300,0.6300
0.8800,5.9200,0.6300,0.6300
0.8800,5.9100,0.6300,0.6300
0.8800,5.9000,0.6300,0.6300
0.8800,5.8900,0.6300,0.6300
0.8800,5.8800,0.6300,0.6300
0.8800,5.8700,0.6300,0.6300
0.8800,5.8600,0.6300,0.6300
0.8800,5.8500,0.6300,0.6300
0.8800,5.8400,0.6300,0.6300
0.8800,5.8300,0.6300,0.6300
0.8800,5.8200,0.6300,0.6300
0.8800,5.8100,0.6300,0.6300
0.8800,5.8000,0.6300,0.6300
0.8800,5.7900,0.6300,0.6300
0.8800,5.7800,0.6300,0.6300
0.8800,5.7700,0.6300,0.6300
0.8800,5.7600,0.6300,0.6300
0.8800,5.7500,0.6300,0.6300
0.8800,5.7400,0.6300,0.6300
0.8800,5.7300,0.6300,0.6300
0.8800,5.7200,0.6300,0.6300
0.8800,5.7100,0.6300,0.6300
0.8800,5.7000,0.6300,0.6300
0.8700,5.6900,0.6400,0.6400
0.8700,5.6800,0.6400,0.6400
0.8700,5.6700,0.6400,0.6400
0.8700,5.6600,0.6400,0.6400
0.8700,5.6500,0.6400,0.6400
0.8700,5.6400,0.6400,0.6400
0.8700,5.6300,0.6400,0.6400
0.8700,5.6200,0.6400,0.6400
0.8700,5.6100,0.6400,0.6400
0.8700,5.6000,0.6400,0.6400
0.8700,5.5900,0.6400,0.6400
0.8700,5.5800,0.6400,0.6400
0.8700,5.5700,0.6400,0.6400
0.8700,5.5600,0.6400,0.6400
0.8700,5.5500,0.6400,0.6400
0.8700,5.5400,0.6400,0.6400
0.8700,5.5300,0.6400,0.6400
0.8600,5.5200,0.6300,0.6300
0.8600,5.5100,0.6300,0.6300
0.8600,5.5000,0.6300,0.6300
0.8600,5.4900,0.6300,0.6300
0.8600,5.4800,0.6300,0.6300
0.8600,5.4700,0.6300,0.6300
0.8600,5.4600,0.6300,0.6300
0.8600,5.4500,0.6300,0.6300
0.8600,5.4400,0.6300,0.6300
0.8600,5.4300,0.6300,0.6300
0.8600,5.4200,0.6300,0.6300
0.8600,5.4100,0.6300,0.6300
0.8600,5.4000,0.6300,0.6300
0.8600,5.3900,0.6300,0.6300
0.8600,5.3800,0.6300,0.6300
0.8600,5.3700,0.6300,0.6300
0.8600,5.3600,0.6300,0.6300
0.8600,5.3500,0.6300,0.6300
0.8600,5.3400,0.6300,0.6300
0.8600,5.3300,0.6300,0.6300
0.8600,5.3200,0.6300,0.6300
0.8600,5.3100,0.6300,0.6300
0.8600,5.3000,0.6300,0.6300
0.8600,5.2900,0.6300,0.6300
0.8600,5.2800,0.6300,0.6300
0.8600,5.2700,0.6300,0.6300
0.8600,5.2600,0.6300,0.6300
0.8600,5.2500,0.6300,0.6300
0.8600,5.2400,0.6300,0.6300
0.8600,5.2300,0.6300,0.6300
0.8600,5.2200,0.6300,0.6300
0.8600,5.2100,0.6300,0.6300
0.8600,5.2000,0.6300,0.6300
0.8600,5.1900,0.6300,0.6300
0.8600,5.1800,0.6300,0.6300
0.8600,5.1700,0.6300,0.6300
0.8600,5.1600,0.6300,0.6300
0.8600,5.1500,0.6300,0.6300
0.8500,5.1400,0.6200,0.6200
0.8500,5.1300,0.6200,0.6200
0.8500,5.1200,0.6200,0.6200
0.8500,5.1100,0.6200,0.6200
0.8500,5.1000,0.6200,0.6200
0.8500,5.0900,0.6200,0.6200
0.8500,5.0800,0.6200,0.6200
0.8500,5.0700,0.6200,0.6200
0.8500,5.0600,0.6200,0.6200
0.8500,5.0500,0.6220,0.6220
0.8500,5.0400,0.6239,0.6239
0.8500,5.0300,0.6259,0.6259
0.8500,5.0200,0.6279,0.6279
0.8500,5.0100,0.6298,0.6298
0.8500,5.0000,0.6318,0.6318
0.8500,4.9900,0.6338,0.6338
0.8500,4.9800,0.6358,0.6358
0.8500,4.9700,0.6377,0.6377
0.8500,4.9600,0.6397,0.6397
0.8500,4.9500,0.6400,0.6400
0.8500,4.9400,0.6400,0.6400
0.8500,4.9300,0.6400,0.6400
0.8500,4.9200,0.6400,0.6400
0.8500,4.9100,0.6400,0.6400
0.8500,4.9000,0.6400,0.6400
0.8500,4.8900,0.6400,0.6400
0.8500,4.8800,0.6400,0.6400
0.8500,4.8700,0.6400,0.6400
0.8500,4.8600,0.6400,0.6400
0.8500,4.8500,0.6400,0.6400
0.8500,4.8400,0.6400,0.6400
0.8500,4.8300,0.6400,0.6400
0.8500,4.8200,0.6400,0.6400
0.8500,4.8100,0.6400,0.6400
0.8500,4.8000,0.6400,0.6400
0.8500,4.7900,0.6400,0.6400
0.8500,4.7800,0.6400,0.6400
0.8500,4.7700,0.6400,0.6400
0.8500,4.7600,0.6400,0.6400
0.8500,4.7500,0.6400,0.6400
0.8500,4.7400,0.6400,0.6400
0.8500,4.7300,0.6400,0.6400
0.8500,4.7200,0.6400,0.6400
0.8500,4.7100,0.6400,0.6400
0.8500,4.7000,0.6400,0.6400
0.8500,4.6900,0.6400,0.6400
0.8500,4.6800,0.6400,0.6400
0.8500,4.6700,0.6400,0.6400
0.8500,4.6600,0.6400,0.6400
0.8500,4.6500,0.6400,0.6400
0.8500,4.6400,0.6400,0.6400
0.8500,4.6300,0.6400,0.6400
0.8500,4.6200,0.6400,0.6400
0.8500,4.6100,0.6400,0.6400
0.8500,4.6000,0.6400,0.6400
0.8500,4.5900,0.6400,0.6400
0.8500,4.5800,0.6400,0.6400
0.8500,4.5700,0.6397,0.6397
0.8500,4.5600,0.6377,0.6377
0.8500,4.5500,0.6358,0.6358
0.8500,4.5400,0.6338,0.6338
0.8500,4.5300,0.6318,0.6318
0.8500,4.5200,0.6298,0.6298
0.8500,4.5100,0.6279,0.6279
0.8500,4.5000,0.6259,0.6259
0.8500,4.4900,0.6239,0.6239
0.8500,4.4800,0.6220,0.6220
0.8500,4.4700,0.6200,0.6200
0.8500,4.4600,0.6200,0.6200
0.8500,4.4500,0.6200,0.6200
0.8500,4.4400,0.6200,0.6200
0.8400,4.4300,0.6300,0.6300
0.8400,4.4200,0.6300,0.6300
0.8400,4.4100,0.6300,0.6300
0.8400,4.4000,0.6300,0.6300
0.8400,4.3900,0.6300,0.6300
0.8400,4.3800,0.6300,0.6300
0.8400,4.3700,0.6300,0.6300
0.8400,4.3600,0.6300,0.6300
0.8400,4.3500,0.6300,0.6300
0.8400,4.3400,0.6300,0.6300
0.8400,4.3300,0.6300,0.6300
0.8400,4.3200,0.6300,0.6300
0.8400,4.3100,0.6300,0.6300
0.8400,4.3000,0.6300,0.6300
0.8400,4.2900,0.6300,0.6300
0.8400,4.2800,0.6300,0.6300
0.8400,4.2700,0.6300,0.6300
0.8400,4.2600,0.6300,0.6300
0.8400,4.2500,0.6300,0.6300
0.8400,4.2400,0.6300,0.6300
0.8400,4.2300,0.6300,0.6300
0.8400,4.2200,0.6300,0.6300
0.8400,4.2100,0.6300,0.6300
0.8400,4.2000,0.6300,0.6300
0.8400,4.1900,0.6300,0.6300
0.8400,4.1800,0.6300,0.6300
0.8400,4.1700,0.6300,0.6300
0.8400,4.1600,0.6300,0.6300
0.8400,4.1500,0.6300,0.6300
0.8400,4.1400,0.6300,0.6300
0.8400,4.1300,0.6300,0.6300
0.8400,4.1200,0.6300,0.6300
0.8400,4.1100,0.6300,0.6300
0.8400,4.1000,0.6300,0.6300
0.8400,4.0900,0.6300,0.6300
0.8400,4.0800,0.6300,0.6300
0.8400,4.0700,0.6300,0.6300
0.8400,4.0600,0.6300,0.6300
0.8400,4.0500,0.6300,0.6300
0.8400,4.0400,0.6300,0.6300
0.8400,4.0300,0.6300,0.6300
0.8400,4.0200,0.6300,0.6300
0.8400,4.0100,0.6300,0.6300
0.8400,4.0000,0.6300,0.6300
0.8400,3.9900,0.6300,0.6300
0.8400,3.9800,0.6300,0.6300
0.8400,3.9700,0.6300,0.6300
0.8400,3.9600,0.6300,0.6300
0.8500,3.9500,0.6200,0.6200
0.8500,3.9400,0.6200,0.6200
0.8500,3.9300,0.6200,0.6200
0.8500,3.9200,0.6200,0.6200
0.8500,3.9100,0.6200,0.6200
0.8500,3.9000,0.6200,0.6200
0.8500,3.8900,0.6200,0.6200
0.8500,3.8800,0.6200,0.6200
0.8500,3.8700,0.6200,0.6200
0.8500,3.8600,0.6200,0.6200
0.8500,3.8500,0.6200,0.6200
0.8500,3.8400,0.6200,0.6200
0.8500,3.8300,0.6200,0.6200
0.8500,3.8200,0.6200,0.6200
0.8500,3.8100,0.6200,0.6200
0.8500,3.8000,0.6200,0.6200
0.8500,3.7900,0.6220,0.6220
0.8500,3.7800,0.6239,0.6239
0.8500,3.7700,0.6259,0.6259
0.8500,3.7600,0.6279,0.6279
0.8500,3.7500,0.6298,0.6298
0.8500,3.7400,0.6300,0.6300
0.8500,3.7300,0.6300,0.6300
0.8500,3.7200,0.6300,0.6300
0.8500,3.7100,0.6300,0.6300
0.8500,3.7000,0.6300,0.6300
0.8600,3.6900,0.6220,0.6220
0.8600,3.6800,0.6239,0.6239
0.8600,3.6700,0.6259,0.6259
0.8600,3.6600,0.6279,0.6279
0.8600,3.6500,0.6298,0.6298
0.8600,3.6400,0.6318,0.6318
0.8600,3.6300,0.6338,0.6338
0.8700,3.6200,0.6258,0.6258
0.8700,3.6100,0.6277,0.6277
0.8700,3.6000,0.6297,0.6297
0.8700,3.5900,0.6317,0.6317
0.8700,3.5800,0.6336,0.6336
0.8700,3.5700,0.6356,0.6356
0.8800,3.5600,0.6276,0.6276
0.8800,3.5500,0.6295,0.6295
0.8800,3.5400,0.6300,0.6300
0.8800,3.5300,0.6320,0.6320
0.8800,3.5200,0.6339,0.6339
0.8800,3.5100,0.6359,0.6359
0.8800,3.5000,0.6379,0.6379
0.8800,3.4900,0.6398,0.6398
0.8800,3.4800,0.6418,0.6418
0.8800,3.4700,0.6438,0.6438
0.8800,3.4600,0.6458,0.6458
0.8800,3.4500,0.6477,0.6477
0.8800,3.4400,0.6497,0.6497
0.8900,3.4300,0.6417,0.6417
0.8900,3.4200,0.6436,0.6436
0.8900,3.4100,0.6456,0.6456
0.8900,3.4000,0.6476,0.6476
0.8900,3.3900,0.6495,0.6495
0.8900,3.3800,0.6515,0.6515
0.8900,3.3700,0.6535,0.6535
0.9000,3.3600,0.6454,0.6454
0.9000,3.3500,0.6474,0.6474
0.9000,3.3400,0.6494,0.6494
0.9000,3.3300,0.6513,0.6513
0.9000,3.3200,0.6533,0.6533
0.9000,3.3100,0.6553,0.6553
0.9000,3.3000,0.6573,0.6573
0.9100,3.2900,0.6492,0.6492
0.9100,3.2800,0.6512,0.6512
0.9100,3.2700,0.6532,0.6532
0.9100,3.2600,0.6551,0.6551
0.9100,3.2500,0.6571,0.6571
0.9200,3.2400,0.6511,0.6511
0.9200,3.2300,0.6532,0.6532
0.9200,3.2200,0.6551,0.6551
0.9200,3.2100,0.6571,0.6571
0.9200,3.2000,0.6591,0.6591
0.9200,3.1900,0.6632,0.6632
0.9200,3.1800,0.6651,0.6651
0.9200,3.1700,0.6671,0.6671
0.9300,3.1600,0.6591,0.6591
0.9300,3.1500,0.6632,0.6632
0.9300,3.1400,0.6651,0.6651
0.9400,3.1300,0.6571,0.6571
0.9400,3.1200,0.6591,0.6591
0.9400,3.1100,0.6651,0.6651
0.9500,3.1000,0.6571,0.6571
0.9500,3.0900,0.6591,0.6591
0.9500,3.0800,0.6613,0.6613
0.9500,3.0700,0.6633,0.6633
0.9500,3.0600,0.6653,0.6653
0.9600,3.0500,0.6573,0.6573
0.9600,3.0400,0.6592,0.6592
0.9600,3.0300,0.6612,0.6612
0.9700,3.0200,0.6532,0.6532
0.9700,3.0100,0.6551,0.6551
0.9700,3.0000,0.6571,0.6571
0.9800,2.9900,0.6511,0.6511
0.9800,2.9800,0.6532,0.6532
0.9800,2.9700,0.6551,0.6551
0.9900,2.9600,0.6471,0.6471
0.9900,2.9500,0.6511,0.6511
0.9900,2.9400,0.6571,0.6571
0.9900,2.9300,0.6591,0.6591
1.0000,2.9200,0.6551,0.6551
1.0000,2.9100,0.6571,0.6571
1.0100,2.9000,0.6511,0.6511
1.0100,2.8900,0.6571,0.6571
1.0200,2.8800,0.6511,0.6511
1.0200,2.8700,0.6571,0.6571
1.0300,2.8600,0.6511,0.6511
1.0300,2.8500,0.6571,0.6571
1.0300,2.8400,0.6632,0.6632
1.0300,2.8300,0.6691,0.6691
1.0400,2.8200,0.6651,0.6651
1.0500,2.8100,0.6571,0.6571
1.0500,2.8000,0.6591,0.6591
1.0500,2.7900,0.6651,0.6651
1.0500,2.7800,0.6691,0.6691
1.0600,2.7700,0.6632,0.6632
1.0600,2.7600,0.6651,0.6651
1.0600,2.7500,0.6671,0.6671
1.0600,2.7400,0.6691,0.6691
1.0700,2.7300,0.6651,0.6651
1.0700,2.7200,0.6671,0.6671
1.0700,2.7100,0.6691,0.6691
1.0800,2.7000,0.6632,0.6632
1.0800,2.6900,0.6651,0.6651
1.0800,2.6800,0.6651,0.6651
1.0900,2.6700,0.6591,0.6591
1.0900,2.6600,0.6632,0.6632
1.1000,2.6500,0.6551,0.6551
1.1000,2.6400,0.6571,0.6571
1.1000,2.6300,0.6571,0.6571
1.1100,2.6200,0.6551,0.6551
1.1100,2.6100,0.6552,0.6552
1.1200,2.6000,0.6511,0.6511
1.1200,2.5900,0.6511,0.6511
1.1200,2.5800,0.6471,0.6471
1.1300,2.5700,0.6511,0.6511
1.1300,2.5600,0.6471,0.6471
1.1400,2.5500,0.6511,0.6511
1.1400,2.5400,0.6532,0.6532
1.1400,2.5300,0.6512,0.6512
1.1400,2.5200,0.6492,0.6492
1.1500,2.5100,0.6571,0.6571
