# x_m,y_m,w_tr_right_m,w_tr_left_m
2.6100,6.0000,0.6212,0.6212
2.6100,5.9900,0.6232,0.6232
2.6100,5.9800,0.6251,0.6251
2.6100,5.9700,0.6273,0.6273
2.6100,5.9600,0.6292,0.6292
2.6200,5.9500,0.6200,0.6200
2.6200,5.9400,0.6200,0.6200
2.6200,5.9300,0.6200,0.6200
2.6200,5.9200,0.6220,0.6220
2.6200,5.9100,0.6239,0.6239
2.6200,5.9000,0.6259,0.6259
2.6300,5.8900,0.6179,0.6179
2.6300,5.8800,0.6198,0.6198
2.6300,5.8700,0.6218,0.6218
2.6300,5.8600,0.6238,0.6238
2.6400,5.8500,0.6158,0.6158
2.6400,5.8400,0.6177,0.6177
2.6400,5.8300,0.6197,0.6197
2.6500,5.8200,0.6117,0.6117
2.6500,5.8100,0.6136,0.6136
2.6500,5.8000,0.6156,0.6156
2.6500,5.7900,0.6176,0.6176
2.6600,5.7800,0.6095,0.6095
2.6600,5.7700,0.6115,0.6115
2.6600,5.7600,0.6135,0.6135
2.6600,5.7500,0.6154,0.6154
2.6700,5.7400,0.6074,0.6074
2.6700,5.7300,0.6094,0.6094
2.6700,5.7200,0.6113,0.6113
2.6800,5.7100,0.6033,0.6033
2.6800,5.7000,0.6053,0.6053
2.6900,5.6900,0.5973,0.5973
2.6900,5.6800,0.5992,0.5992
2.6900,5.6700,0.6012,0.6012
2.7000,5.6600,0.5932,0.5932
2.7000,5.6500,0.5992,0.5992
2.7000,5.6400,0.6032,0.6032
2.7100,5.6300,0.5992,0.5992
2.7200,5.6200,0.5932,0.5932
2.7200,5.6100,0.5992,0.5992
2.7200,5.6000,0.6032,0.6032
2.7300,5.5900,0.5992,0.5992
2.7300,5.5800,0.6032,0.6032
2.7300,5.5700,0.6072,0.6072
2.7400,5.5600,0.6032,0.6032
2.7400,5.5500,0.6072,0.6072
2.7400,5.5400,0.6132,0.6132
2.7500,5.5300,0.6113,0.6113
2.7500,5.5200,0.6151,0.6151
2.7500,5.5100,0.6212,0.6212
2.7500,5.5000,0.6251,0.6251
2.7600,5.4900,0.6212,0.6212
2.7600,5.4800,0.6272,0.6272
2.7600,5.4700,0.6332,0.6332
2.7600,5.4600,0.6291,0.6291
2.7700,5.4500,0.6351,0.6351
2.7800,5.4400,0.6291,0.6291
2.7800,5.4300,0.6332,0.6332
2.7800,5.4200,0.6272,0.6272
2.7900,5.4100,0.6291,0.6291
2.7900,5.4000,0.6251,0.6251
2.8000,5.3900,0.6291,0.6291
2.8000,5.3800,0.6251,0.6251
2.8100,5.3700,0.6272,0.6272
2.8100,5.3600,0.6212,0.6212
2.8200,5.3500,0.6251,0.6251
2.8300,5.3400,0.6291,0.6291
2.8400,5.3300,0.6291,0.6291
2.8400,5.3200,0.6291,0.6291
2.8400,5.3100,0.6251,0.6251
2.8500,5.3000,0.6291,0.6291
2.8600,5.2900,0.6351,0.6351
2.8700,5.2800,0.6332,0.6332
2.8700,5.2700,0.6332,0.6332
2.8800,5.2600,0.6352,0.6352
2.8800,5.2500,0.6291,0.6291
2.8900,5.2400,0.6351,0.6351
2.9000,5.2300,0.6371,0.6371
2.9100,5.2200,0.6375,0.6375
2.9100,5.2100,0.6371,0.6371
2.9200,5.2000,0.6416,0.6416
2.9200,5.1900,0.6371,0.6371
2.9300,5.1800,0.6431,0.6431
2.9300,5.1700,0.6371,0.6371
2.9400,5.1600,0.6412,0.6412
2.9500,5.1500,0.6431,0.6431
2.9500,5.1400,0.6371,0.6371
2.9600,5.1300,0.6431,0.6431
2.9700,5.1200,0.6453,0.6453
2.9800,5.1100,0.6472,0.6472
